title,variety,winery,region_1,province,country
Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere,Napa Valley,California,US
Bloomer Creek 2006 Gewürztraminer (Finger Lakes),Gewürztraminer,Bloomer Creek,Finger Lakes,New York,US
Andean Sky 2007 Bonarda (Mendoza),Bonarda,Andean Sky,Mendoza,Mendoza Province,Argentina
Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,Angove's,South Australia,South Australia,Australia
Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,Willamette Valley,Oregon,US
Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),Montepulciano,Talamonti,Montepulciano d'Abruzzo,Central Italy,Italy
Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa,Santa Barbara County,California,US
Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker,Diamond Mountain District,California,US
Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,Consorzio Vini Tipici di San Marino,San Marino,Central Italy,Italy
D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,McLaren Vale,South Australia,Australia
Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood,Mendocino,California,US
Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet,Vin de Pays des Côtes de Gascogne,Southwest France,France
Falcor 2005 Sangiovese (Napa Valley),Sangiovese,Falcor,Napa Valley,California,US
Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,Hayman & Hill,Russian River Valley,California,US
Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,Hermann J. Wiemer,Finger Lakes,New York,US
J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,J. & F. Lurton,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras,San Juan,Other,Argentina
Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Long Flat,Adelaide Hills,South Australia,Australia
Work 2004 Reserve Merlot (Sonoma Mountain),Merlot,Work,Sonoma Mountain,California,US
Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity,Willamette Valley,Oregon,US
Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,Autumn Hill,Monticello,Virginia,US
Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock,Alexander Valley,California,US
Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill,Willamette Valley,Oregon,US
Cloud 9 2006 Seity Zinfandel (Amador County),Zinfandel,Cloud 9,Amador County,California,US
Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,Cueva de las Manos,Luján de Cuyo,Mendoza Province,Argentina
David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,David Fulton,St. Helena,California,US
Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina,Cole Ranch,California,US
Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.,,Coastal Region,South Africa
Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck,,Coastal Region,South Africa
Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg,,Stellenbosch,South Africa
Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118,Cahors,Southwest France,France
Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,Willamette Valley,Oregon,US
Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon,,Mendoza Province,Argentina
Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek,Napa Valley,California,US
Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron,Santa Maria Valley,California,US
Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin,,Stellenbosch,South Africa
Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin,,Stellenbosch,South Africa
Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken,Mendoza,Mendoza Province,Argentina
Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti,Torgiano,Central Italy,Italy
Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli,Veneto,Veneto,Italy
Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,Mariell,,Leithaberg,Austria
Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,Livio Felluga,Colli Orientali del Friuli,Northeastern Italy,Italy
My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine,,Santorini,Greece
Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),Pinot Bianco,Nals Margreid,Alto Adige,Northeastern Italy,Italy
O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,O. Fournier,Uco Valley,Mendoza Province,Argentina
Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Pico Maccario,Monferrato,Piedmont,Italy
Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano,Mendoza,Mendoza Province,Argentina
St. Francis 2009 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis,Sonoma County,California,US
Trailhead 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Trailhead,Napa Valley,California,US
Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath,Willamette Valley,Oregon,US
Franz Haas 2009 Sauvignon (Alto Adige),Sauvignon,Franz Haas,Alto Adige,Northeastern Italy,Italy
Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Forstreiter,,Kremstal,Austria
Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Cambria,Santa Maria Valley,California,US
I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza,Toscana,Tuscany,Italy
J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher,Dundee Hills,Oregon,US
Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Viña Cobos,Perdriel,Mendoza Province,Argentina
Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Salomon-Undhof,,Kremstal,Austria
Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley,Arroyo Grande Valley,California,US
Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,Acústic,Montsant,Catalonia,Spain
Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),Grüner Veltliner,Josef Schmid,,Kremstal,Austria
Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Parallel,Napa Valley,California,US
Château Lafon-Rochet 2011  Saint-Estèphe,Bordeaux-style Red Blend,Château Lafon-Rochet,Saint-Estèphe,Bordeaux,France
Dionigi 2006  Sagrantino di Montefalco,Sagrantino,Dionigi,Sagrantino di Montefalco,Central Italy,Italy
Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),Savagnin,Domaine Daniel Dugois,Arbois,France Other,France
Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon,Barossa Valley,South Australia,Australia
Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia,Tupungato,Mendoza Province,Argentina
Treana 2008 Treana Red Cabernet Sauvignon-Syrah (Paso Robles),Cabernet Sauvignon-Syrah,Treana,Paso Robles,California,US
Ventisquero 2008 Grey [Glacier] Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ventisquero,,Maipo Valley,Chile
Aquinas 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Aquinas,Napa Valley,California,US
Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Arboleda,,Aconcagua Valley,Chile
Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,Attilio Ghisolfi,Langhe,Piedmont,Italy
Benessere 2007 Estate Sangiovese (Napa Valley),Sangiovese,Benessere,Napa Valley,California,US
Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane,Columbia Valley (WA),Washington,US
Cantina del Nebbiolo 2008  Roero,Nebbiolo,Cantina del Nebbiolo,Roero,Piedmont,Italy
Cascina Adelaide 2005 4 Vigne  (Barolo),Nebbiolo,Cascina Adelaide,Barolo,Piedmont,Italy
Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),Barbera,Cascina La Ghersa,Barbera d'Asti Superiore Nizza,Piedmont,Italy
Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs,Mendocino County,California,US
Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas,,Recas,Romania
Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna,Côte de Nuits-Villages,Burgundy,France
Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas,,Santorini,Greece
Socré 2006 Nebbiolo (Langhe),Nebbiolo,Socré,Langhe,Piedmont,Italy
Boffa 2006 Nebbiolo (Langhe),Nebbiolo,Boffa,Langhe,Piedmont,Italy
Otto's Constant Dream 2008 Syrah (Hawke's Bay),Syrah,Otto's Constant Dream,,Hawke's Bay,New Zealand
Mount Veeder 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Mount Veeder,Napa Valley,California,US
Rabino 2008  Roero,Nebbiolo,Rabino,Roero,Piedmont,Italy
Robert Mondavi 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Mondavi,Napa Valley,California,US
Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi,Prosecco di Valdobbiadene,Veneto,Italy
Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),Bordeaux-style White Blend,Château Mont-Pérat,Bordeaux Blanc,Bordeaux,France
Château Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau,Bordeaux Blanc,Bordeaux,France
Aresti 2007 Reserva Merlot (Curicó Valley),Merlot,Aresti,,Curicó Valley,Chile
Paladin 2007 Millesimato Brut Prosecco (Veneto),Prosecco,Paladin,Veneto,Veneto,Italy
Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage,Prosecco di Valdobbiadene,Veneto,Italy
Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,Prosecco di Valdobbiadene,Veneto,Italy
Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia,Prosecco di Valdobbiadene,Veneto,Italy
J. & F. Lurton 2006 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,J. & F. Lurton,,Colchagua Valley,Chile
L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,Prosecco di Conegliano,Veneto,Italy
Lucas Vineyards 2007 Vignoles (Finger Lakes),Vignoles,Lucas Vineyards,Finger Lakes,New York,US
Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Marsuret,Prosecco di Valdobbiadene,Veneto,Italy
De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),Chardonnay,De Martino,,Limarí Valley,Chile
Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,Beringer,Knights Valley,California,US
Brutocao 2006 Reserve Zinfandel (Mendocino),Zinfandel,Brutocao,Mendocino,California,US
Clos La Chance 2006 Lila's Cuvée Red (Central Coast),Red Blend,Clos La Chance,Central Coast,California,US
Cono Sur 2008 Visión Gewürztraminer (Casablanca Valley),Gewürztraminer,Cono Sur,,Casablanca Valley,Chile
Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),Prosecco,Sommariva,Prosecco di Conegliano,Veneto,Italy
Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol,Prosecco di Valdobbiadene,Veneto,Italy
Jacquart NV Mosaïque Rosé Brut  (Champagne),Champagne Blend,Jacquart,Champagne,Champagne,France
L'Antica Quercia 2007 Arió Extra Dry  (Prosecco di Conegliano),Prosecco,L'Antica Quercia,Prosecco di Conegliano,Veneto,Italy
Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Koyle,,Colchagua Costa,Chile
Château Notre Dame du Quatourze 2015 Rosé (Languedoc),Rosé,Château Notre Dame du Quatourze,Languedoc,Languedoc-Roussillon,France
Mémoires 2015 Rosé (Coteaux Varois en Provence),Rosé,Mémoires,Coteaux Varois en Provence,Provence,France
Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill,Cava,Catalonia,Spain
Antoine Moltès & Fils 2015 Tradition Pinot Gris (Alsace),Pinot Gris,Antoine Moltès & Fils,Alsace,Alsace,France
Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King,Dry Creek Valley,California,US
Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco,Cava,Catalonia,Spain
Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Pura 8,,Rapel Valley,Chile
Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Viña Tarapacá,,Leyda Valley,Chile
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards,Rutherglen,Victoria,Australia
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards,Rutherglen,Victoria,Australia
Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil,,Rheingau,Germany
Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards,Rutherglen,Victoria,Australia
Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Shiraz-Viognier,Torbreck,Barossa,South Australia,Australia
Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto,Barolo,Piedmont,Italy
Oremus 2005 Eszencia  (Tokaji),Furmint,Oremus,,Tokaji,Hungary
Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli,Russian River Valley,California,US
Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,Louis Latour,Montrachet,Burgundy,France
Robert Weil 2014 Kiedrich Gräfenberg Beerenauslese Riesling (Rheingau),Riesling,Robert Weil,,Rheingau,Germany
Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli,Russian River Valley,California,US
Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Shiraz,Jasper Hill,Heathcote,Victoria,Australia
Château de la Tour 2013 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour,Clos de Vougeot,Burgundy,France
Weingut Hans Bausch 2011 Hattenheimer Hassel Auslese Riesling (Rheingau),Riesling,Weingut Hans Bausch,,Rheingau,Germany
Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin,Chassagne-Montrachet,Burgundy,France
Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck,Barossa Valley,South Australia,Australia
Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle,Barolo,Piedmont,Italy
J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies,Diamond Mountain District,California,US
Louis Latour 2014  Criots-Bâtard-Montrachet,Chardonnay,Louis Latour,Criots-Bâtard-Montrachet,Burgundy,France
Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea,Dundee Hills,Oregon,US
Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,Wakefield,Clare Valley,South Australia,Australia
Cantina Terlano 2000 Vorberg Pinot Bianco (Alto Adige),Pinot Bianco,Cantina Terlano,Alto Adige,Northeastern Italy,Italy
De Martino 1999 Reserva de la Familia Carmenère (Maipo Valley),Carmenère,De Martino,,Maipo Valley,Chile
Montresor 2001  Bianco di Custoza,Garganega,Montresor,Bianco di Custoza,Veneto,Italy
Ronco del Gelso 1999 Chardonnay (Friuli),Chardonnay,Ronco del Gelso,Friuli,Northeastern Italy,Italy
Sebastiani 1991 Cherryblock Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani,Sonoma Valley,California,US
Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Elena Walch,Alto Adige,Northeastern Italy,Italy
Gini 2002 Classico  (Soave),White Blend,Gini,Soave,Veneto,Italy
Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Borgo Conventi,Collio,Northeastern Italy,Italy
Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc (Mendocino County),Sauvignon Blanc,Ceago Vinegarden,Mendocino County,California,US
Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Valiano,Toscana,Tuscany,Italy
Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini,Colli Orientali del Friuli,Northeastern Italy,Italy
Zenato 2001 Vigneto Massoni White (Naoussa),White Blend,Zenato,,Naoussa,Greece
L.A. Cetto 1996 Private Reserve Nebbiolo (Valle de Guadalupe),Nebbiolo,L.A. Cetto,,Valle de Guadalupe,Mexico
La Vis 2001 Bianco dei Sorni White (Trentino),White Blend,La Vis,Trentino,Northeastern Italy,Italy
Lapostolle 2002 Estate Bottled Merlot (Rapel Valley),Merlot,Lapostolle,,Rapel Valley,Chile
Fratelli Zeni 2000 Vigne Alte  (Bianco di Custoza),White Blend,Fratelli Zeni,Bianco di Custoza,Veneto,Italy
Carmen 2000 Estate Grown Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Carmen,,Maipo Valley,Chile
Tommasi 2001 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,Tommasi,Valdadige,Veneto,Italy
San Michele Eppan 2002 Sanct Valentin Gewürztraminer (Alto Adige),Gewürztraminer,San Michele Eppan,Alto Adige,Northeastern Italy,Italy
Vinoce 2001 Sauvignon Blanc (Rutherford),Sauvignon Blanc,Vinoce,Rutherford,California,US
Merriam 2000 Windacre Vineyard Merlot (Russian River Valley),Merlot,Merriam,Russian River Valley,California,US
Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Murphy-Goode,Alexander Valley,California,US
Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi,Edna Valley,California,US
Cantina Terlano 2002 Terlano Classico White (Alto Adige),White Blend,Cantina Terlano,Alto Adige,Northeastern Italy,Italy
Casa Julia 2001 Reserve Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Casa Julia,,Maipo Valley,Chile
Valdivieso 2001 Reserve Chardonnay (Central Valley),Chardonnay,Valdivieso,,Central Valley,Chile
Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Bridlewood,Santa Ynez Valley,California,US
San Pedro 2002 Castillo de Molina Reserva Chardonnay (Lontué Valley),Chardonnay,San Pedro,,Lontué Valley,Chile
Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Undurraga,,Maipo Valley,Chile
Conti Formentini 2001 Rylint White (Collio),White Blend,Conti Formentini,Collio,Northeastern Italy,Italy
Cline 2007 Ancient Vines Zinfandel (California),Zinfandel,Cline,California,California,US
Cono Sur 2008 Visión Pinot Noir (Colchagua Valley),Pinot Noir,Cono Sur,,Colchagua Valley,Chile
Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Aresti,,Curicó Valley,Chile
Astoria 2008 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Astoria,Prosecco di Valdobbiadene,Veneto,Italy
Cantine Maschio NV Brut Prosecco (Italy),Prosecco,Cantine Maschio,Italy,Italy Other,Italy
Val d'Oca 2008 Millesimato Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Val d'Oca,Prosecco di Valdobbiadene,Veneto,Italy
Viña Bisquertt 2007 Casa la Joya Reserve Syrah (Colchagua Valley),Syrah,Viña Bisquertt,,Colchagua Valley,Chile
Vinavanti 2005 Le Bon Viveur Red (California),Red Blend,Vinavanti,California,California,US
Vino V 2005 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vino V,Santa Barbara County,California,US
Viticoltori Ponte NV Extra Dry  (Prosecco del Veneto),Prosecco,Viticoltori Ponte,Prosecco del Veneto,Veneto,Italy
Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart,Champagne,Champagne,France
Lapostolle 2007 Casa Chardonnay (Casablanca Valley),Chardonnay,Lapostolle,,Casablanca Valley,Chile
Le Vigne di Alice 2008 Millesimato Extra Dry  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Le Vigne di Alice,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy
McGregor 2007 Dry Gewürztraminer (Finger Lakes),Gewürztraminer,McGregor,Finger Lakes,New York,US
Miles 2006 Cabernet Franc (Finger Lakes),Cabernet Franc,Miles,Finger Lakes,New York,US
Morro Bay 2006 Split Oak Vineyard Cabernet Sauvignon (California),Cabernet Sauvignon,Morro Bay,California,California,US
Perlage 2008 Canah Brut  (Prosecco di Valdobbiadene),Prosecco,Perlage,Prosecco di Valdobbiadene,Veneto,Italy
Pizzolato 2007  Prosecco del Veneto,Prosecco,Pizzolato,Prosecco del Veneto,Veneto,Italy
Pizzolato NV Stefany Extra Dry  (Prosecco del Veneto),Prosecco,Pizzolato,Prosecco del Veneto,Veneto,Italy
Red Newt Cellars 2007 Riesling (Finger Lakes),Riesling,Red Newt Cellars,Finger Lakes,New York,US
Ca'Tullio NV Extra Dry  (Prosecco del Veneto),Prosecco,Ca'Tullio,Prosecco del Veneto,Veneto,Italy
Pizzolato NV  Prosecco del Veneto,Prosecco,Pizzolato,Prosecco del Veneto,Veneto,Italy
